service_id,canonical_service_key,service_name_canonical,domain,axis_type,appears_in_app_panels,appears_in_retail_panels,app_row_count,retail_row_count,alias_count,canonicalization_basis,needs_human_review,web_eligibility_status,web_eligibility_basis,web_target_group_id,web_target_key,web_target_grouping_status
svc_bbdefa2950f49882,google,Google,APP,SERVICE_BRAND,2,0,3,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_bbdefa2950f49882,google,SINGLETON_PENDING_URL_REVIEW
svc_fcf244c9ad878906,google_photos,Google 포토,APP,SERVICE_BRAND,1,0,2,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_fcf244c9ad878906,google_photos,SINGLETON_PENDING_URL_REVIEW
svc_8fd5d30f8b1d707b,hana_bank,하나은행,APP,SERVICE_BRAND,3,0,7,0,1,fig04 아이콘은 '1Q 하나원큐' 지만 라벨 텍스트가 '하나은행' 이다. 원문 라벨 표기를 따른다.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_8fd5d30f8b1d707b,hana_bank,SINGLETON_PENDING_URL_REVIEW
svc_b728911c9782edb8,hyundai_card,현대카드,APP,SERVICE_BRAND,3,0,7,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_b728911c9782edb8,hyundai_card,SINGLETON_PENDING_URL_REVIEW
svc_5ede56738376a8c5,instagram,Instagram,APP,SERVICE_BRAND,1,0,1,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_5ede56738376a8c5,instagram,SINGLETON_PENDING_URL_REVIEW
svc_f322b894ee95c181,kakaomap,카카오맵,APP,SERVICE_BRAND,1,0,2,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_f322b894ee95c181,kakaomap,SINGLETON_PENDING_URL_REVIEW
svc_699a5e2f3f410152,kakaotalk,카카오톡,APP,SERVICE_BRAND,2,0,2,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_699a5e2f3f410152,kakaotalk,SINGLETON_PENDING_URL_REVIEW
svc_b8b226f9fe32539a,kb_pay,KB Pay,APP,SERVICE_BRAND,1,0,2,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_b8b226f9fe32539a,kb_pay,SINGLETON_PENDING_URL_REVIEW
svc_e296af221a5f7128,kb_starbanking,KB스타뱅킹,APP,SERVICE_BRAND,1,0,4,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_e296af221a5f7128,kb_starbanking,SINGLETON_PENDING_URL_REVIEW
svc_d5ae5426eac23877,monimo,모니모,APP,SERVICE_BRAND,4,0,9,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_d5ae5426eac23877,monimo,SINGLETON_PENDING_URL_REVIEW
svc_ed7b9bea21def8f8,my_files,내 파일,APP,SERVICE_BRAND,1,0,1,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_ed7b9bea21def8f8,my_files,SINGLETON_PENDING_URL_REVIEW
svc_8349e143ed01f677,naver_app,네이버,APP,SERVICE_BRAND,2,0,2,0,1,"APP 도메인 원문은 '네이버', RETAIL 도메인 원문은 '네이버/네이버페이' 로 표기가 다르다. 앱 사용자와 네이버페이 결제는 다른 측정 대상이므로 별개 entity 로 둔다.",True,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_6d5510a695d0a614,naver,CANDIDATE_PENDING_URL_REVIEW
svc_efda6e0b8457d63c,naver_map,네이버지도,APP,SERVICE_BRAND,1,0,1,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_efda6e0b8457d63c,naver_map,SINGLETON_PENDING_URL_REVIEW
svc_13ed070478ef62c3,netflix,Netflix,APP,SERVICE_BRAND,1,0,1,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_13ed070478ef62c3,netflix,SINGLETON_PENDING_URL_REVIEW
svc_fb3d1841dddfd982,nh_cok_bank,NH콕뱅크,APP,SERVICE_BRAND,3,0,7,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_fb3d1841dddfd982,nh_cok_bank,SINGLETON_PENDING_URL_REVIEW
svc_95967b50683649f2,nh_smart_banking,NH스마트뱅킹,APP,SERVICE_BRAND,1,0,4,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_95967b50683649f2,nh_smart_banking,SINGLETON_PENDING_URL_REVIEW
svc_ad44f9ade6b9b551,samsung_calculator,삼성 계산기,APP,SERVICE_BRAND,2,0,5,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_ad44f9ade6b9b551,samsung_calculator,SINGLETON_PENDING_URL_REVIEW
svc_088809bf9b31bc6a,samsung_card,삼성카드,APP,SERVICE_BRAND,3,0,7,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_088809bf9b31bc6a,samsung_card,SINGLETON_PENDING_URL_REVIEW
svc_ff3ee504792f6cfc,samsung_internet_browser,삼성 인터넷 브라우저,APP,SERVICE_BRAND,3,0,6,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_ff3ee504792f6cfc,samsung_internet_browser,SINGLETON_PENDING_URL_REVIEW
svc_2cd43b99c1ed87cf,samsung_notes,삼성 노트,APP,SERVICE_BRAND,1,0,1,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_2cd43b99c1ed87cf,samsung_notes,SINGLETON_PENDING_URL_REVIEW
svc_dd5061eb74e2d4d4,samsung_wallet,삼성 월렛,APP,SERVICE_BRAND,1,0,1,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_dd5061eb74e2d4d4,samsung_wallet,SINGLETON_PENDING_URL_REVIEW
svc_64d30ef262d8782d,shinhan_sol_bank,신한 SOL뱅크,APP,SERVICE_BRAND,1,0,4,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_64d30ef262d8782d,shinhan_sol_bank,SINGLETON_PENDING_URL_REVIEW
svc_5beeafeac2e27eae,tiktok,TikTok,APP,SERVICE_BRAND,1,0,1,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_5beeafeac2e27eae,tiktok,SINGLETON_PENDING_URL_REVIEW
svc_ddb7aefefe0273b4,tiktok_lite,TikTok Lite,APP,SERVICE_BRAND,1,0,1,0,1,원문이 'TikTok' 과 'TikTok Lite' 를 별도 행으로 올렸다(fig01_t2 동시 등장). 별개 앱이다.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_ddb7aefefe0273b4,tiktok_lite,SINGLETON_PENDING_URL_REVIEW
svc_60d4d22e3809f780,tmap,티맵,APP,SERVICE_BRAND,2,0,5,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_60d4d22e3809f780,tmap,SINGLETON_PENDING_URL_REVIEW
svc_35319a420294ee17,toss,토스,APP,SERVICE_BRAND,2,0,2,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_35319a420294ee17,toss,SINGLETON_PENDING_URL_REVIEW
svc_190b4501e4415d5e,v3_mobile_plus,V3 Mobile Plus,APP,SERVICE_BRAND,1,0,4,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_190b4501e4415d5e,v3_mobile_plus,SINGLETON_PENDING_URL_REVIEW
svc_24e6654bfd1ab85b,youtube,YouTube,APP,SERVICE_BRAND,2,0,2,0,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_24e6654bfd1ab85b,youtube,SINGLETON_PENDING_URL_REVIEW
svc_2af5cef408b64669,industry_convenience_store,편의점,RETAIL,INDUSTRY_CATEGORY,0,1,0,3,1,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,False,EXCLUDED_INDUSTRY_AXIS,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,,,
svc_412589798229c678,industry_delivery,배달,RETAIL,INDUSTRY_CATEGORY,0,1,0,3,1,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,False,EXCLUDED_INDUSTRY_AXIS,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,,,
svc_903a71c3a24e4116,industry_department_store_outlet,백화점/아울렛,RETAIL,INDUSTRY_CATEGORY,0,1,0,3,1,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,False,EXCLUDED_INDUSTRY_AXIS,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,,,
svc_7e16a52529c5b629,industry_electronics,전자기기,RETAIL,INDUSTRY_CATEGORY,0,1,0,3,1,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,False,EXCLUDED_INDUSTRY_AXIS,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,,,
svc_92e05e8212e443a2,industry_food,식품,RETAIL,INDUSTRY_CATEGORY,0,1,0,3,1,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,False,EXCLUDED_INDUSTRY_AXIS,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,,,
svc_c23db7aed7ecd624,industry_food_beverage,식음료,RETAIL,INDUSTRY_CATEGORY,0,1,0,3,1,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,False,EXCLUDED_INDUSTRY_AXIS,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,,,
svc_77c78a1555cf28ae,industry_home_shopping,홈쇼핑,RETAIL,INDUSTRY_CATEGORY,0,1,0,3,1,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,False,EXCLUDED_INDUSTRY_AXIS,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,,,
svc_bc65e77baaea207c,industry_internet_shopping,인터넷 쇼핑,RETAIL,INDUSTRY_CATEGORY,0,1,0,3,1,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,False,EXCLUDED_INDUSTRY_AXIS,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,,,
svc_b6a2bad4a8d88e77,industry_offline_mart,오프라인 마트,RETAIL,INDUSTRY_CATEGORY,0,1,0,3,1,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,False,EXCLUDED_INDUSTRY_AXIS,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,,,
svc_a6b8f11674c80b5f,industry_travel_transport,여행/교통,RETAIL,INDUSTRY_CATEGORY,0,1,0,3,1,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,False,EXCLUDED_INDUSTRY_AXIS,fig07_t1 의 축은 표 헤더가 '업종' 인 업종 카테고리다. 브랜드가 아니므로 웹 수집 대상에서 제외한다.,,,
svc_c5285b96b598a08b,baemin,배달의민족,RETAIL,SERVICE_BRAND,0,2,0,2,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_c5285b96b598a08b,baemin,SINGLETON_PENDING_URL_REVIEW
svc_4feab7e61bf642e8,cj_onstyle,CJ온스타일,RETAIL,SERVICE_BRAND,0,3,0,6,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_4feab7e61bf642e8,cj_onstyle,SINGLETON_PENDING_URL_REVIEW
svc_51484a735cdb487b,compose_coffee,컴포즈커피,RETAIL,SERVICE_BRAND,0,1,0,1,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_51484a735cdb487b,compose_coffee,SINGLETON_PENDING_URL_REVIEW
svc_22ffba7a86ea9919,costco,코스트코,RETAIL,SERVICE_BRAND,0,4,0,6,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_22ffba7a86ea9919,costco,SINGLETON_PENDING_URL_REVIEW
svc_054d78ed187cdd9f,coupang_eats,쿠팡이츠,RETAIL,SERVICE_BRAND,0,1,0,1,1,원문이 '쿠팡'(fig06_t1/t2) 과 '쿠팡이츠'(fig06_t2) 를 같은 표에 별도 행으로 올렸다. 별개 측정 대상이다.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_054d78ed187cdd9f,coupang_eats,SINGLETON_PENDING_URL_REVIEW
svc_e22ebedb0e6c205f,coupang_retail,쿠팡,RETAIL,SERVICE_BRAND,0,3,0,4,1,"APP 도메인은 앱 사용자·사용시간을, RETAIL 도메인은 카드 결제추정금액을 잰다. 원문 표기가 같아도 측정 대상이 다르므로 measurement_entity 로는 별개다.",True,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_5b8c59f6fd9839f7,coupang,CANDIDATE_PENDING_URL_REVIEW
svc_e67be79550661604,cu,CU,RETAIL,SERVICE_BRAND,0,2,0,2,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_e67be79550661604,cu,SINGLETON_PENDING_URL_REVIEW
svc_377983572bd38242,daiso,다이소,RETAIL,SERVICE_BRAND,0,2,0,3,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_377983572bd38242,daiso,SINGLETON_PENDING_URL_REVIEW
svc_7f6f1aa6dd218d4d,emart,이마트,RETAIL,SERVICE_BRAND,0,2,0,2,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_7f6f1aa6dd218d4d,emart,SINGLETON_PENDING_URL_REVIEW
svc_be1e6feb78e5ef03,emart24,emart24,RETAIL,SERVICE_BRAND,0,1,0,1,1,원문이 '이마트'(fig06_t1) 와 'emart24'(fig06_t2) 를 별도 행으로 표기했다. 편의점 브랜드로 별개 entity 다.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_be1e6feb78e5ef03,emart24,SINGLETON_PENDING_URL_REVIEW
svc_e4a6c04cbf9d9421,gmarket_auction,G마켓/옥션,RETAIL,SERVICE_BRAND,0,1,0,1,1,슬래시 묶음 표기이자 APP 의 'G마켓' 과 다른 원문 표기. 원문 단위를 측정 단위로 보고 별개 entity 로 둔다.,True,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_f9fbd771ffcdbd42,gmarket,CANDIDATE_PENDING_URL_REVIEW
svc_12e3942c0495b9a4,gs25,GS25,RETAIL,SERVICE_BRAND,0,2,0,2,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_12e3942c0495b9a4,gs25,SINGLETON_PENDING_URL_REVIEW
svc_e268b0ad5a2d6ece,gs_homeshopping_gsshop,GS홈쇼핑/GS Shop,RETAIL,SERVICE_BRAND,0,3,0,6,1,원문이 한 셀에 슬래시로 묶어 표기한 단일 측정 단위 — 분해하지 않고 그대로 1개 entity 로 둔다.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_e268b0ad5a2d6ece,gs_homeshopping_gsshop,SINGLETON_PENDING_URL_REVIEW
svc_5c614fc99631ce5e,home_and_shopping,홈앤쇼핑,RETAIL,SERVICE_BRAND,0,3,0,6,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_5c614fc99631ce5e,home_and_shopping,SINGLETON_PENDING_URL_REVIEW
svc_0ee385d0c964e560,homeplus,홈플러스,RETAIL,SERVICE_BRAND,0,1,0,1,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_0ee385d0c964e560,homeplus,SINGLETON_PENDING_URL_REVIEW
svc_ccb9754c97fa7341,hyundai_department_store,현대백화점,RETAIL,SERVICE_BRAND,0,1,0,1,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_ccb9754c97fa7341,hyundai_department_store,SINGLETON_PENDING_URL_REVIEW
svc_353f07b932464b82,hyundai_homeshopping_hmall,현대홈쇼핑/현대Hmall,RETAIL,SERVICE_BRAND,0,3,0,6,2,"fig10_t2 의 '현대홈쇼핑/현대Hmallord' 와 같은 브랜드다. 같은 그림 안의 동일 5개 브랜드 세트이고 로고 이미지도 동일하며, 발행처 태그 목록에도 '현대홈쇼핑/현대Hmall' 만 실려 있다. 'ord' 는 원문(발행물) 자체의 렌더링 오타로 확인되어 별칭으로 흡수했다.",True,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_353f07b932464b82,hyundai_homeshopping_hmall,SINGLETON_PENDING_URL_REVIEW
svc_ccd84811932b237b,kakao_t,카카오T,RETAIL,SERVICE_BRAND,0,1,0,1,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_ccd84811932b237b,kakao_t,SINGLETON_PENDING_URL_REVIEW
svc_9b353f64ce509d5a,korean_air,대한항공,RETAIL,SERVICE_BRAND,0,1,0,1,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_9b353f64ce509d5a,korean_air,SINGLETON_PENDING_URL_REVIEW
svc_dd2cec4c1fa2beec,lotte_department_store,롯데백화점,RETAIL,SERVICE_BRAND,0,1,0,1,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_dd2cec4c1fa2beec,lotte_department_store,SINGLETON_PENDING_URL_REVIEW
svc_ef06dc942ef3ccc9,lotte_himart,롯데하이마트,RETAIL,SERVICE_BRAND,0,1,0,3,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_ef06dc942ef3ccc9,lotte_himart,SINGLETON_PENDING_URL_REVIEW
svc_888d37f34b5d3aaa,lotte_homeshopping,롯데홈쇼핑,RETAIL,SERVICE_BRAND,0,1,0,3,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_888d37f34b5d3aaa,lotte_homeshopping,SINGLETON_PENDING_URL_REVIEW
svc_88cb7f1e54f26500,lotte_mart,롯데마트,RETAIL,SERVICE_BRAND,0,1,0,1,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_88cb7f1e54f26500,lotte_mart,SINGLETON_PENDING_URL_REVIEW
svc_e7bb158c1c8d9fe7,market_kurly,마켓컬리,RETAIL,SERVICE_BRAND,0,1,0,2,1,원문 표기 1종만 존재 — 별칭 병합 없이 1:1 대응.,False,NOT_ASSESSED,웹 수집 적격 여부를 아직 평가하지 않았다. URL 증거가 없다.,wtg_e7bb158c1c8d9fe7,market_kurly,SINGLETON_PENDING_URL_REVIEW
