alias_id,service_id,entity_name_raw,domain,axis_type,panel_ids,match_basis,reviewer_note
als_1618fcbd58b24b63,svc_77c78a1555cf28ae,홈쇼핑,RETAIL,INDUSTRY_CATEGORY,fig07_t1,EXACT,
als_aad162fc95fdaeef,svc_79cd0e07c1eac5dc,쿠팡,APP,SERVICE_BRAND,"fig01_t1,fig01_t2",EXACT,
als_0c4490e5e62aeacd,svc_7ce399cd76c70efa,네이버/네이버페이,RETAIL,SERVICE_BRAND,"fig06_t1,fig06_t2",EXACT,
als_b229746861e7e3d0,svc_7e16a52529c5b629,전자기기,RETAIL,INDUSTRY_CATEGORY,fig07_t1,EXACT,
als_d010ee9ff6eaa6f2,svc_7f6f1aa6dd218d4d,이마트,RETAIL,SERVICE_BRAND,"fig06_t1,fig06_t2",EXACT,
als_45d093c0be347f70,svc_8195b68ac17e42a3,세븐일레븐,RETAIL,SERVICE_BRAND,fig06_t2,EXACT,
als_ac860bddea3bb7b6,svc_8349e143ed01f677,네이버,APP,SERVICE_BRAND,"fig01_t1,fig01_t2",EXACT,
als_10e2897e20a94614,svc_888d37f34b5d3aaa,롯데홈쇼핑,RETAIL,SERVICE_BRAND,fig08_t1,EXACT,
als_f758e424ea580769,svc_88cb7f1e54f26500,롯데마트,RETAIL,SERVICE_BRAND,fig06_t1,EXACT,
als_363989c655a7bcae,svc_8d71ef6dc3fca6b0,파리바게뜨/파리크라상,RETAIL,SERVICE_BRAND,fig06_t2,EXACT,
als_dea184a9b7fea5d9,svc_8fd5d30f8b1d707b,하나은행,APP,SERVICE_BRAND,"fig02_t1,fig04_t1,fig04_t2",EXACT,
als_193eb11c127ecb2d,svc_903a71c3a24e4116,백화점/아울렛,RETAIL,INDUSTRY_CATEGORY,fig07_t1,EXACT,
als_2b149d961d9b604c,svc_91b952863c62993d,다음,APP,SERVICE_BRAND,fig02_t1,EXACT,
als_f9b89e175fde28bb,svc_92e05e8212e443a2,식품,RETAIL,INDUSTRY_CATEGORY,fig07_t1,EXACT,
als_8b7b7bca77b387c6,svc_9390ef32addf32bf,Chrome,APP,SERVICE_BRAND,"fig01_t1,fig01_t2",EXACT,
als_bfd0dfc08542aeff,svc_95967b50683649f2,NH스마트뱅킹,APP,SERVICE_BRAND,fig02_t1,EXACT,
als_2287eb07a5b3db4b,svc_95e22b9aff7196b3,NS홈쇼핑,RETAIL,SERVICE_BRAND,"fig08_t1,fig10_t1,fig10_t2",EXACT,
als_72c5374d767c3447,svc_9b353f64ce509d5a,대한항공,RETAIL,SERVICE_BRAND,fig06_t1,EXACT,
als_2471778492942b6f,svc_a215c45b2cc585ca,에이닷 전화,APP,SERVICE_BRAND,fig01_t2,EXACT,
als_344ec45baf6dd0a0,svc_a6b8f11674c80b5f,여행/교통,RETAIL,INDUSTRY_CATEGORY,fig07_t1,EXACT,
als_46b775235c81bcb2,svc_ad44f9ade6b9b551,삼성 계산기,APP,SERVICE_BRAND,"fig01_t1,fig02_t1",EXACT,
als_24123d6d227f8d50,svc_b6a2bad4a8d88e77,오프라인 마트,RETAIL,INDUSTRY_CATEGORY,fig07_t1,EXACT,
als_7e2b67619419559a,svc_b728911c9782edb8,현대카드,APP,SERVICE_BRAND,"fig02_t1,fig04_t1,fig04_t2",EXACT,
als_b81d2a033652d477,svc_b8b226f9fe32539a,KB Pay,APP,SERVICE_BRAND,fig03_t1,EXACT,
als_832bbf18678ab5f7,svc_bbdefa2950f49882,Google,APP,SERVICE_BRAND,"fig01_t1,fig03_t1",EXACT,
als_afb3da6348d3d357,svc_bc65e77baaea207c,인터넷 쇼핑,RETAIL,INDUSTRY_CATEGORY,fig07_t1,EXACT,
als_0aa594088e34742a,svc_be1e6feb78e5ef03,emart24,RETAIL,SERVICE_BRAND,fig06_t2,EXACT,
als_8b16fed5e5fa024f,svc_c23db7aed7ecd624,식음료,RETAIL,INDUSTRY_CATEGORY,fig07_t1,EXACT,
als_6531cde7965a69fd,svc_c5285b96b598a08b,배달의민족,RETAIL,SERVICE_BRAND,"fig06_t1,fig06_t2",EXACT,
als_b023f0d4a07f03e2,svc_ccb9754c97fa7341,현대백화점,RETAIL,SERVICE_BRAND,fig06_t1,EXACT,
als_372d59ac9a9aff71,svc_ccd84811932b237b,카카오T,RETAIL,SERVICE_BRAND,fig06_t2,EXACT,
als_09c145f823d5599e,svc_cdce1ffd6b1b1e24,디바이스 케어,APP,SERVICE_BRAND,fig03_t1,EXACT,
als_41abe2a0bf0c4609,svc_d5ae5426eac23877,모니모,APP,SERVICE_BRAND,"fig02_t1,fig03_t1,fig04_t1,fig04_t2",EXACT,
als_07f5eb46c2329e27,svc_dd2cec4c1fa2beec,롯데백화점,RETAIL,SERVICE_BRAND,fig06_t1,EXACT,
als_ff975cc027b1d910,svc_dd5061eb74e2d4d4,삼성 월렛,APP,SERVICE_BRAND,fig01_t1,EXACT,
als_c4cc1db078ab12e5,svc_ddb7aefefe0273b4,TikTok Lite,APP,SERVICE_BRAND,fig01_t2,EXACT,
als_89fb687d5ef36f78,svc_e1fadb214cde51c0,캐시워크,APP,SERVICE_BRAND,"fig01_t2,fig02_t1,fig03_t1",EXACT,
als_b4c4023d37acc23b,svc_e22ebedb0e6c205f,쿠팡,RETAIL,SERVICE_BRAND,"fig06_t1,fig06_t2,fig09_t1",EXACT,
als_4295b56fb276caf8,svc_e268b0ad5a2d6ece,GS홈쇼핑/GS Shop,RETAIL,SERVICE_BRAND,"fig08_t1,fig10_t1,fig10_t2",EXACT,
als_4f75c51f556953f0,svc_e296af221a5f7128,KB스타뱅킹,APP,SERVICE_BRAND,fig02_t1,EXACT,
als_a22157691eea7e49,svc_e4a6c04cbf9d9421,G마켓/옥션,RETAIL,SERVICE_BRAND,fig06_t1,EXACT,
als_261b3e209460efca,svc_e67be79550661604,CU,RETAIL,SERVICE_BRAND,"fig06_t1,fig06_t2",EXACT,
als_6d4540d80450ce80,svc_e7bb158c1c8d9fe7,마켓컬리,RETAIL,SERVICE_BRAND,fig09_t1,EXACT,
als_70c7997da2abf778,svc_ea031f85e857140e,메가커피,RETAIL,SERVICE_BRAND,fig06_t2,EXACT,
als_b9ea685ae64fcd58,svc_ed7b9bea21def8f8,내 파일,APP,SERVICE_BRAND,fig01_t1,EXACT,
als_5e04037dd68af510,svc_ef06dc942ef3ccc9,롯데하이마트,RETAIL,SERVICE_BRAND,fig08_t1,EXACT,
als_c250e617ba53e268,svc_efda6e0b8457d63c,네이버지도,APP,SERVICE_BRAND,fig01_t1,EXACT,
als_7dff47b9a1852ef3,svc_f322b894ee95c181,카카오맵,APP,SERVICE_BRAND,fig03_t1,EXACT,
als_d7f6b374307a2a99,svc_fb3d1841dddfd982,NH콕뱅크,APP,SERVICE_BRAND,"fig02_t1,fig04_t1,fig04_t2",EXACT,
als_24131f3fa91d9582,svc_fcf244c9ad878906,Google 포토,APP,SERVICE_BRAND,fig03_t1,EXACT,
als_fa915897369f2d49,svc_fdce1294fac3dfdb,신세계백화점,RETAIL,SERVICE_BRAND,"fig06_t1,fig09_t1",EXACT,
als_f70f5ffe86ae8221,svc_ff3ee504792f6cfc,삼성 인터넷 브라우저,APP,SERVICE_BRAND,"fig01_t1,fig01_t2,fig02_t1",EXACT,
