web_target_group_id,web_target_key,member_service_ids,member_canonical_keys,member_count,member_domains,grouping_status,grouping_basis,web_target_url,url_evidence
wtg_b8b226f9fe32539a,kb_pay,svc_b8b226f9fe32539a,kb_pay,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_e296af221a5f7128,kb_starbanking,svc_e296af221a5f7128,kb_starbanking,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_9b353f64ce509d5a,korean_air,svc_9b353f64ce509d5a,korean_air,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_dd2cec4c1fa2beec,lotte_department_store,svc_dd2cec4c1fa2beec,lotte_department_store,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_ef06dc942ef3ccc9,lotte_himart,svc_ef06dc942ef3ccc9,lotte_himart,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_888d37f34b5d3aaa,lotte_homeshopping,svc_888d37f34b5d3aaa,lotte_homeshopping,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_88cb7f1e54f26500,lotte_mart,svc_88cb7f1e54f26500,lotte_mart,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_e7bb158c1c8d9fe7,market_kurly,svc_e7bb158c1c8d9fe7,market_kurly,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_ea031f85e857140e,mega_coffee,svc_ea031f85e857140e,mega_coffee,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_d5ae5426eac23877,monimo,svc_d5ae5426eac23877,monimo,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_ed7b9bea21def8f8,my_files,svc_ed7b9bea21def8f8,my_files,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_efda6e0b8457d63c,naver_map,svc_efda6e0b8457d63c,naver_map,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_7594fc1d91ec9188,nc_dept_newcore_outlet,svc_7594fc1d91ec9188,nc_dept_newcore_outlet,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_13ed070478ef62c3,netflix,svc_13ed070478ef62c3,netflix,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_fb3d1841dddfd982,nh_cok_bank,svc_fb3d1841dddfd982,nh_cok_bank,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_95967b50683649f2,nh_smart_banking,svc_95967b50683649f2,nh_smart_banking,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_517b8047eb5be716,nonghyup_hanaro_mart,svc_517b8047eb5be716,nonghyup_hanaro_mart,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_95e22b9aff7196b3,ns_homeshopping,svc_95e22b9aff7196b3,ns_homeshopping,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_8d71ef6dc3fca6b0,paris_baguette_pariscroissant,svc_8d71ef6dc3fca6b0,paris_baguette_pariscroissant,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_ad44f9ade6b9b551,samsung_calculator,svc_ad44f9ade6b9b551,samsung_calculator,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_088809bf9b31bc6a,samsung_card,svc_088809bf9b31bc6a,samsung_card,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_ff3ee504792f6cfc,samsung_internet_browser,svc_ff3ee504792f6cfc,samsung_internet_browser,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_2cd43b99c1ed87cf,samsung_notes,svc_2cd43b99c1ed87cf,samsung_notes,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_dd5061eb74e2d4d4,samsung_wallet,svc_dd5061eb74e2d4d4,samsung_wallet,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_8195b68ac17e42a3,seven_eleven,svc_8195b68ac17e42a3,seven_eleven,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_64d30ef262d8782d,shinhan_sol_bank,svc_64d30ef262d8782d,shinhan_sol_bank,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_fdce1294fac3dfdb,shinsegae_department_store,svc_fdce1294fac3dfdb,shinsegae_department_store,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_5beeafeac2e27eae,tiktok,svc_5beeafeac2e27eae,tiktok,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_ddb7aefefe0273b4,tiktok_lite,svc_ddb7aefefe0273b4,tiktok_lite,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_60d4d22e3809f780,tmap,svc_60d4d22e3809f780,tmap,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_0f3bdb2bd0bb891e,top_mart,svc_0f3bdb2bd0bb891e,top_mart,1,RETAIL,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_35319a420294ee17,toss,svc_35319a420294ee17,toss,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_190b4501e4415d5e,v3_mobile_plus,svc_190b4501e4415d5e,v3_mobile_plus,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
wtg_24e6654bfd1ab85b,youtube,svc_24e6654bfd1ab85b,youtube,1,APP,SINGLETON_PENDING_URL_REVIEW,다른 measurement_entity 와 묶을 원문 근거가 없다. 단독 web_target 후보.,,
