# ============================================================================
# INVALIDATED — 어떤 용도로도 사용하지 마라
# ============================================================================
# 무효 사유: 이 파일은 A7 `UNSOURCED_INCOMPATIBLE_PANEL_SET` 으로 판정된 파생 xlsx
#            (출처 미상, creator=openpyxl, 문서속성 전무)에서 파생됐다.
#            판정 근거는 sources/wiseapp/authority_manifest.json 의
#            legacy_asset_assessment 를 보라. 요약하면 그 xlsx 는 원문과 값이 어긋난
#            같은 패널이 아니라 애초에 다른 패널 집합이다.
# 오염 증거: 이 파일의 panels 컬럼에 '월평균 사용자 Top10', '리테일 INDEX Top20' 같은
#            원문에 존재하지 않는 패널명이 들어 있다. 원문(A1)의 대응 패널은
#            각각 TOP15 이며 Top10/Top20 이 아니다.
# 금지 범위: 모집단 정의, 대조군 구성, 보정, 표본 추출, 커버리지 산정 — 전부 금지.
#            셀 단위로 고쳐 재사용하는 것도 금지한다(두 패널 집합의 융합이 된다).
# 보존 이유: 무엇이 왜 폐기됐는지 추적 가능해야 하므로 삭제하지 않고 여기 남긴다.
# 무효 처리: 2026-08-26 / exec-agent(C009) / 적대적 감사 + 오케스트레이터 재결
# 원본 위치: research/landing_accessibility/state/service_certification_match_draft.csv (미추적 상태였음)
# ============================================================================
# 추가: cert_match_basis 가 전 행 NOT_FOUND 이고 certified_current 가 전 행 0 이다.
#       인증 결합은 C006 A2 스냅샷(sources/certification/)으로 새로 수행해야 하며,
#       이 파일의 url 컬럼도 URL 증거 절차를 거치지 않은 값이라 재사용할 수 없다.
# ---------------------------------------------------------------------------
name,url,urlstat,cats,panels,rows,dom,url_type,certified_current,cert_match_basis,cert_expired_history,name_corroborated,cert_targets
농협하나로마트,https://www.nhhanaro.co.kr/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,리테일 INDEX Top20,1,nhhanaro.co.kr,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
코스트코,https://www.costco.co.kr/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,리테일 INDEX Top20,1,costco.co.kr,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
11번가,https://m.11st.co.kr/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,리테일 INDEX Top20,1,11st.co.kr,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
배달의민족,https://www.baemin.com/,OFFICIAL_WEB_PRODUCT_PAGE,BUY_RESERVE,리테일 INDEX Top20,1,baemin.com,OFFICIAL_PRODUCT_PAGE,0,NOT_FOUND,0,,[]
롯데백화점,https://www.lotteshopping.com/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,리테일 INDEX Top20,1,lotteshopping.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
신세계백화점,https://www.shinsegae.com/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,리테일 INDEX Top20,1,shinsegae.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
롯데마트,https://www.lotteon.com/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,리테일 INDEX Top20,1,lotteon.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
GS홈쇼핑/GS Shop,https://m.gsshop.com/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,리테일 INDEX Top20,1,gsshop.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
CJ ENM,https://display.cjonstyle.com/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,리테일 INDEX Top20,1,cjonstyle.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
현대백화점,https://www.thehyundai.com/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,리테일 INDEX Top20,1,thehyundai.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
이마트 트레이더스,https://emart-traders.ssg.com/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,리테일 INDEX Top20,1,ssg.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
GS25,https://gs25.gsretail.com/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,리테일 INDEX Top20,1,gsretail.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
CU,https://cu.bgfretail.com/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,리테일 INDEX Top20,1,bgfretail.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
대한항공,https://www.koreanair.com/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,리테일 INDEX Top20,1,koreanair.com,WEB_SERVICE_LANDING_CANDIDATE,1,EXACT_REGDOMAIN,0,1,"[""대한항공""]"
SSG.COM,https://m.ssg.com/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,리테일 INDEX Top20,1,ssg.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
테무,https://www.temu.com/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,이커머스/앱테크 결제추정금액 점유율,1,temu.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
레브잇(올웨이즈),https://alwayz.co/,MOBILE_WEB_CANDIDATE,BUY_RESERVE,이커머스/앱테크 결제추정금액 점유율,1,alwayz.co,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
KB국민은행,https://obank.kbstar.com/,MOBILE_WEB_CANDIDATE,TRANSFER_ENTRY,50세 이상 은행/뱅킹 앱 사용자 Top5,1,kbstar.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
카카오뱅크,https://www.kakaobank.com/,OFFICIAL_WEB_PRODUCT_PAGE,TRANSFER_ENTRY,50세 이상 은행/뱅킹 앱 사용자 Top5,1,kakaobank.com,OFFICIAL_PRODUCT_PAGE,0,NOT_FOUND,1,,[]
신한SOL뱅크,https://bank.shinhan.com/,MOBILE_WEB_CANDIDATE,TRANSFER_ENTRY,50세 이상 은행/뱅킹 앱 사용자 Top5,1,shinhan.com,WEB_SERVICE_LANDING_CANDIDATE,0,NOT_FOUND,0,,[]
NH콕뱅크,https://www.nonghyup.com/,OFFICIAL_WEB_PRODUCT_PAGE,TRANSFER_ENTRY,50세 이상 은행/뱅킹 앱 사용자 Top5,1,nonghyup.com,OFFICIAL_PRODUCT_PAGE,0,NOT_FOUND,0,,[]
